region,site_code,site_name,habitat,latitude,longitude,survey_date
BC,BC4,Broward County 4,Inner,26.1494,-80.0894,4/6/24
BC,BC1,Broward County 1,Inner,26.1479,-80.096,4/6/24
BC,BC2,Broward County 2,Middle,26.16,-80.0825,4/6/24
BC,BC5,Broward County 5,Middle,26.3019,-80.0682,5/6/24
BC,USEC24,"Sunrise Blvd, FL",,26.13943,-80.09856,5/6/24
BC,BCA,Broward County A,NS,26.1498,-80.0968,6/6/24
BC,USEC26,John U. Lloyd Beach State Park,,26.08314,-80.10411,6/6/24
BC,BC3,Broward County 3,Outer,26.1586,-80.0774,7/6/24
LK,5S5,Rock Key Shallow,OS,24.4545,-81.8589,10/9/24
LK,2S1,Sand Key Shallow,OS,24.452,-81.8775,10/9/24
LK,5D5,Rock Key Deep,OD,24.4532,-81.8568,10/9/24
LK,2D1,Sand Key Deep,OD,24.4517,-81.8798,10/9/24
LK,5S3,Eastern Sambo Shallow,OS,24.4917,-81.663565,11/9/24
LK,5S4,Western Sambo Shallow,OS,24.4796,-81.7176,11/9/24
LK,5D3,Eastern Sambo Deep,OD,24.4884,-81.6659,11/9/24
LK,5D4,Western Sambo Deep,OD,24.478,-81.7171,11/9/24
LK,5P5,Wonderland,P,24.5603,-81.5021,12/9/24
LK,5P6,Red Dun Reef,P,24.5209,-81.6621,12/9/24
LK,5P1,West Washer Women,P,24.5475,-81.5866,12/9/24
DT,1PB,Davis Rock,PC,24.6871,-82.9072,3/6/25
DT,1PC,Texas Rock,PC,24.6805,-82.8853,3/6/25
DT,1P5,Mayer's Peak,PC,24.608,-82.944,4/6/25
DT,1P4,Temptation Rock,PC,24.6431,-82.9307,4/6/25
DT,1PA,The Maze,PC,24.609,-82.9496,4/6/25
DC,DC4,Dade County 4,Middle,25.6726,-80.0884,4/8/25
DC,DC8,Dade County 8,NS,25.6785,-80.1186,4/8/25
DT,1P7,Little Africa,P,24.635,-82.919,5/6/25
DT,1P6,Loggerhead Patch,P,24.635,-82.9163,5/6/25
DT,1P2,Palmata Patch,P,24.6207,-82.8673,5/6/25
DT,1P3,Prolifera Patch,P,24.6206,-82.8696,5/6/25
DT,1P1,White Shoal,P,24.6414,-82.8962,5/6/25
DT,CAR3,Windjammer,P,24.62429,-82.943,5/6/25
DC,DC1,Dade County 1,Inner,25.8423,-80.1042,5/8/25
DC,DC2,Dade County 2,Middle,25.8422,-80.095,5/8/25
